item_id,sale_id,user_id,name,type,brand,qty,value
1,739,408,SightSoothe,Soluciones,Bright,1,20000
2,1103,99,IrisBright,Soluciones,Glassi,1,14000
3,24,381,VisionGuard,Gotas,Bright,4,18000
4,467,735,OptiGleam,Soluciones,Glassi,2,6000
5,1737,692,OptiClarity,Gotas,Bright,4,20000
6,1200,467,OptiGleam,Lentes de Contacto,Glassi,3,20000
7,1768,223,OptiClarity,Gotas,Lupa,3,8000
8,1074,163,VisionGuard,Lentes de Contacto,Bright,1,18000
9,1232,380,OptiGleam,Soluciones,Glassi,4,8000
10,1102,777,EyeRevive,Gotas,Lupa,2,14000
11,1794,536,VisionGuard,Lentes de Contacto,Lupa,4,4000
12,1816,800,LuminEye Care,Gotas,Bright,2,20000
13,1857,616,EyeRevive,Lentes de Contacto,Lupa,3,16000
14,148,424,VisionGuard,Lentes de Contacto,Glassi,3,6000
15,1484,155,VisionGuard,Gotas,Glassi,4,12000
16,1891,164,LuminEye Care,Lentes de Contacto,Glassi,2,2000
17,55,767,OptiClarity,Lentes de Contacto,Bright,1,18000
18,1365,711,SightSoothe,Lentes de Contacto,Bright,1,8000
19,17,332,LuminEye Care,Soluciones,Lupa,2,10000
20,223,347,LuminEye Care,Lentes de Contacto,Glassi,3,8000
21,1574,483,LuminEye Care,Gotas,Glassi,4,8000
22,615,319,IrisBright,Lentes de Contacto,Bright,4,18000
23,1382,765,OptiGleam,Gotas,Glassi,1,16000
24,1175,649,VisionGuard,Lentes de Contacto,Lupa,4,2000
25,1257,312,SightSoothe,Lentes de Contacto,Bright,4,4000
26,917,769,OptiGleam,Gotas,Glassi,4,18000
27,104,276,IrisBright,Soluciones,Lupa,1,2000
28,226,689,ClearView Elite,Gotas,Bright,2,14000
29,581,69,OptiClarity,Gotas,Glassi,1,6000
30,24,721,IrisBright,Gotas,Lupa,2,14000
31,1440,119,SightSoothe,Soluciones,Glassi,4,20000
32,1266,726,LuminEye Care,Soluciones,Glassi,4,16000
33,676,704,VisionGuard,Lentes de Contacto,Bright,2,8000
34,115,418,VisionGuard,Gotas,Glassi,2,2000
35,350,327,LuminEye Care,Gotas,Bright,1,14000
36,1515,709,LuminEye Care,Soluciones,Glassi,1,12000
37,1506,666,ClearView Elite,Gotas,Lupa,1,2000
38,187,3,SightSoothe,Gotas,Bright,1,20000
39,1918,318,SightSoothe,Soluciones,Lupa,4,12000
40,1304,764,EyeRevive,Gotas,Glassi,1,4000
41,438,290,OptiClarity,Gotas,Lupa,2,16000
42,1366,656,OptiClarity,Lentes de Contacto,Bright,4,12000
43,1305,271,OptiClarity,Lentes de Contacto,Glassi,3,20000
44,1464,723,OptiClarity,Soluciones,Lupa,4,8000
45,764,525,VisionGuard,Soluciones,Lupa,1,6000
46,456,338,IrisBright,Gotas,Bright,1,4000
47,671,536,ClearView Elite,Soluciones,Glassi,3,6000
48,1481,303,IrisBright,Soluciones,Glassi,3,12000
49,616,386,EyeRevive,Soluciones,Lupa,4,6000
50,1937,402,ClearView Elite,Soluciones,Lupa,3,12000
51,1458,751,ClearView Elite,Soluciones,Glassi,1,2000
52,435,230,ClearView Elite,Soluciones,Lupa,4,16000
53,1430,340,IrisBright,Soluciones,Glassi,3,14000
54,1061,762,OptiClarity,Soluciones,Bright,3,14000
55,1994,404,OptiGleam,Lentes de Contacto,Bright,4,2000
56,1105,786,OptiGleam,Gotas,Lupa,2,4000
57,1419,778,IrisBright,Soluciones,Glassi,2,10000
58,457,167,SightSoothe,Soluciones,Bright,1,6000
59,600,118,OptiClarity,Gotas,Lupa,4,6000
60,817,402,EyeRevive,Gotas,Bright,2,16000
61,1934,614,ClearView Elite,Lentes de Contacto,Glassi,1,12000
62,57,312,IrisBright,Soluciones,Glassi,2,8000
63,328,550,SightSoothe,Gotas,Bright,1,8000
64,678,557,ClearView Elite,Soluciones,Glassi,3,4000
65,1413,393,ClearView Elite,Soluciones,Glassi,2,14000
66,580,397,EyeRevive,Lentes de Contacto,Glassi,1,18000
67,148,355,SightSoothe,Lentes de Contacto,Bright,2,18000
68,1533,745,ClearView Elite,Gotas,Bright,1,12000
69,1603,155,SightSoothe,Gotas,Lupa,3,12000
70,1158,97,SightSoothe,Soluciones,Glassi,3,14000
71,215,593,LuminEye Care,Gotas,Glassi,3,14000
72,1960,776,EyeRevive,Soluciones,Glassi,4,18000
73,120,291,ClearView Elite,Soluciones,Glassi,3,18000
74,1004,473,OptiGleam,Lentes de Contacto,Bright,2,8000
75,899,424,LuminEye Care,Lentes de Contacto,Glassi,2,16000
76,1385,399,OptiClarity,Lentes de Contacto,Bright,3,14000
77,1830,209,ClearView Elite,Gotas,Lupa,1,4000
78,573,146,OptiGleam,Lentes de Contacto,Glassi,2,4000
79,1915,285,OptiClarity,Lentes de Contacto,Glassi,1,6000
80,138,679,ClearView Elite,Soluciones,Glassi,4,6000
81,533,689,IrisBright,Soluciones,Lupa,4,2000
82,81,564,IrisBright,Gotas,Bright,3,12000
83,1523,58,VisionGuard,Soluciones,Bright,3,20000
84,1798,462,IrisBright,Gotas,Glassi,1,10000
85,1849,335,ClearView Elite,Lentes de Contacto,Bright,1,18000
86,1556,573,OptiClarity,Lentes de Contacto,Glassi,2,10000
87,1469,314,SightSoothe,Gotas,Bright,3,4000
88,439,149,LuminEye Care,Gotas,Lupa,4,10000
89,1605,30,OptiGleam,Soluciones,Glassi,4,6000
90,986,532,LuminEye Care,Lentes de Contacto,Bright,3,6000
91,1458,752,IrisBright,Soluciones,Bright,2,8000
92,553,638,EyeRevive,Lentes de Contacto,Glassi,1,14000
93,1116,47,ClearView Elite,Gotas,Bright,4,4000
94,1368,415,SightSoothe,Soluciones,Lupa,4,4000
95,423,776,VisionGuard,Gotas,Bright,4,6000
96,691,83,SightSoothe,Gotas,Glassi,3,8000
97,1309,418,OptiClarity,Lentes de Contacto,Lupa,3,2000
98,215,442,OptiClarity,Soluciones,Glassi,1,20000
99,1605,352,OptiClarity,Gotas,Lupa,2,2000
100,1000,262,EyeRevive,Lentes de Contacto,Glassi,2,12000
101,1795,94,OptiClarity,Lentes de Contacto,Glassi,4,14000
102,1646,241,OptiClarity,Gotas,Bright,4,8000
103,599,683,EyeRevive,Lentes de Contacto,Bright,2,18000
104,16,398,ClearView Elite,Soluciones,Bright,4,6000
105,560,487,LuminEye Care,Lentes de Contacto,Lupa,2,4000
106,1540,791,ClearView Elite,Lentes de Contacto,Glassi,1,20000
107,163,13,ClearView Elite,Lentes de Contacto,Glassi,3,2000
108,817,607,IrisBright,Gotas,Lupa,2,6000
109,1988,313,OptiGleam,Soluciones,Bright,3,16000
110,1044,264,OptiGleam,Soluciones,Glassi,3,2000
111,1119,776,SightSoothe,Lentes de Contacto,Bright,1,10000
112,396,48,LuminEye Care,Lentes de Contacto,Glassi,1,12000
113,1940,93,EyeRevive,Gotas,Bright,1,14000
114,982,434,IrisBright,Lentes de Contacto,Lupa,4,2000
115,1530,288,OptiClarity,Soluciones,Bright,3,6000
116,1254,386,OptiGleam,Soluciones,Glassi,4,10000
117,1325,354,LuminEye Care,Lentes de Contacto,Bright,1,12000
118,734,698,SightSoothe,Gotas,Glassi,1,18000
119,1987,417,EyeRevive,Lentes de Contacto,Bright,1,12000
120,1280,769,EyeRevive,Soluciones,Lupa,1,18000
121,31,432,LuminEye Care,Lentes de Contacto,Bright,3,16000
122,1739,125,ClearView Elite,Soluciones,Lupa,1,8000
123,1244,546,OptiClarity,Gotas,Lupa,3,18000
124,1523,129,LuminEye Care,Lentes de Contacto,Lupa,3,16000
125,1441,686,OptiGleam,Gotas,Glassi,1,16000
126,42,515,SightSoothe,Lentes de Contacto,Lupa,3,4000
127,288,713,IrisBright,Gotas,Lupa,3,4000
128,689,583,SightSoothe,Lentes de Contacto,Lupa,4,16000
129,1221,758,OptiGleam,Gotas,Lupa,3,14000
130,1164,656,ClearView Elite,Gotas,Lupa,2,4000
131,906,284,OptiClarity,Gotas,Glassi,1,12000
132,736,187,ClearView Elite,Gotas,Lupa,1,2000
133,870,171,OptiGleam,Gotas,Lupa,2,20000
134,850,649,OptiGleam,Lentes de Contacto,Lupa,3,16000
135,1112,277,EyeRevive,Lentes de Contacto,Lupa,2,18000
136,210,69,LuminEye Care,Lentes de Contacto,Bright,2,18000
137,1438,649,EyeRevive,Gotas,Glassi,2,16000
138,161,417,ClearView Elite,Gotas,Lupa,4,10000
139,1039,299,VisionGuard,Lentes de Contacto,Lupa,4,2000
140,720,250,OptiGleam,Soluciones,Lupa,2,16000
